0 0 0 17
1 0 0 16
0 1 1 19
1 1 1 11
1 2 1 21
0 2 2 18
0 3 2 13
0 4 2 13
1 3 2 13
0 5 3 23
1 4 3 13
1 5 3 19
1 6 3 21
0 6 4 22
0 7 4 14
0 8 4 23
1 7 4 18
1 8 4 14
0 9 5 22
1 9 5 18
1 10 5 25
0 10 6 21
0 11 6 18
0 12 6 23
1 11 6 24
1 12 6 26
0 13 7 23
0 14 7 26
0 15 7 22
1 13 7 24
1 14 7 22
1 15 7 21
1 16 7 23
0 16 8 21
0 17 8 19
0 18 9 25
1 17 9 22
1 18 9 21
1 19 9 25
0 19 10 25
0 20 10 24
0 21 11 26
0 22 11 26
0 23 11 24
1 20 11 26
1 21 11 24
1 22 11 25
1 23 11 28
0 24 12 30
1 24 12 27
1 25 12 22
0 25 13 25
0 26 13 32
1 26 14 24
0 27 15 26
1 27 15 27
1 28 15 31
0 28 16 27
0 29 16 27
1 29 18 33
0 30 19 32
0 31 19 34
1 30 19 34
1 31 19 39
0 32 20 37
1 32 20 35
1 33 21 41
0 33 22 41
0 34 22 35
0 35 22 40
1 34 22 37
0 36 23 41
1 35 23 41
1 36 23 34
1 37 23 35
0 37 24 41
0 38 25 41
1 38 25 44
0 39 26 37
1 39 26 42
1 40 26 45
0 40 27 40
0 41 28 43
0 42 28 43
1 41 28 42
1 42 28 39
0 43 29 46
1 43 29 41
0 44 30 40
0 45 30 49
1 44 30 48
1 45 30 47
1 46 30 41
0 46 31 47
0 47 31 42
0 48 31 47
1 47 31 44
0 49 32 47
1 48 32 43
1 49 32 47
