0 0 0 3
0 1 0 1
1 0 0 9
1 1 0 6
1 2 1 5
0 2 2 7
0 3 2 7
0 4 3 10
1 3 3 5
1 4 3 9
0 5 4 5
1 5 4 7
0 6 5 10
1 6 5 10
1 7 5 6
0 7 6 5
0 8 6 4
0 9 7 8
0 10 7 2
1 8 7 1
1 9 7 8
1 10 7 10
1 11 7 1
0 11 8 2
0 12 8 6
0 13 8 5
1 12 8 3
1 13 8 10
0 14 9 5
0 15 9 5
0 16 9 5
1 14 9 10
1 15 9 10
1 16 9 7
0 17 10 2
0 18 10 9
1 17 10 7
1 18 10 10
1 19 10 10
0 19 11 9
0 20 11 5
0 21 11 6
0 22 11 4
0 23 11 10
1 20 11 5
1 21 11 2
1 22 11 8
1 23 11 9
0 24 12 4
0 25 12 5
1 24 12 10
1 25 12 6
1 26 12 6
0 26 13 4
0 27 14 7
0 28 14 10
1 27 14 5
1 28 14 10
1 29 14 7
0 29 15 6
